n,doubling.ticks
1,3
2,4
3,11
4,12
5,25
6,26
7,27
8,28
9,53
10,54
11,55
12,56
13,57
14,58
15,59
16,60
17,109
18,110
19,111
20,112
21,113
22,114
23,115
24,116
25,117
26,118
27,119
28,120
29,121
30,122
31,123
32,124
33,221
34,222
35,223
36,224
37,225
38,226
39,227
40,228
41,229
42,230
43,231
44,232
45,233
46,234
47,235
48,236
49,237
50,238
51,239
52,240
53,241
54,242
55,243
56,244
57,245
58,246
59,247
60,248
61,249
62,250
63,251
64,252
65,445
66,446
67,447
68,448
69,449
70,450
71,451
72,452
73,453
74,454
75,455
76,456
77,457
78,458
79,459
80,460
81,461
82,462
83,463
84,464
85,465
86,466
87,467
88,468
89,469
90,470
91,471
92,472
93,473
94,474
95,475
96,476
97,477
98,478
99,479
100,480
101,481
102,482
103,483
104,484
105,485
106,486
107,487
108,488
109,489
110,490
111,491
112,492
113,493
114,494
115,495
116,496
117,497
118,498
119,499
120,500
121,501
122,502
123,503
124,504
125,505
126,506
127,507
128,508
129,893
130,894
131,895
132,896
133,897
134,898
135,899
136,900
137,901
138,902
139,903
140,904
141,905
142,906
143,907
144,908
145,909
146,910
147,911
148,912
149,913
150,914
151,915
152,916
153,917
154,918
155,919
156,920
157,921
158,922
159,923
160,924
161,925
162,926
163,927
164,928
165,929
166,930
167,931
168,932
169,933
170,934
171,935
172,936
173,937
174,938
175,939
176,940
177,941
178,942
179,943
180,944
181,945
182,946
183,947
184,948
185,949
186,950
187,951
188,952
189,953
190,954
191,955
192,956
193,957
194,958
195,959
196,960
197,961
198,962
199,963
200,964
201,965
202,966
203,967
204,968
205,969
206,970
207,971
208,972
209,973
210,974
211,975
212,976
213,977
214,978
215,979
216,980
217,981
218,982
219,983
220,984
221,985
222,986
223,987
224,988
225,989
226,990
227,991
228,992
229,993
230,994
231,995
232,996
233,997
234,998
235,999
236,1000
237,1001
238,1002
239,1003
240,1004
241,1005
242,1006
243,1007
244,1008
245,1009
246,1010
247,1011
248,1012
249,1013
250,1014
251,1015
252,1016
253,1017
254,1018
255,1019
256,1020
257,1789
258,1790
259,1791
260,1792
261,1793
262,1794
263,1795
264,1796
265,1797
266,1798
267,1799
268,1800
269,1801
270,1802
271,1803
272,1804
273,1805
274,1806
275,1807
276,1808
277,1809
278,1810
279,1811
280,1812
281,1813
282,1814
283,1815
284,1816
285,1817
286,1818
287,1819
