n,growbyone.ticks
1,3
2,4
3,10
4,18
5,28
6,40
7,54
8,70
9,88
10,108
11,130
12,154
13,180
14,208
15,238
16,270
17,304
18,340
19,378
20,418
21,460
22,504
23,550
24,598
25,648
26,700
27,754
28,810
29,868
30,928
31,990
32,1054
33,1120
34,1188
35,1258
36,1330
37,1404
38,1480
39,1558
40,1638
41,1720
42,1804
43,1890
44,1978
45,2068
46,2160
47,2254
48,2350
49,2448
50,2548
51,2650
52,2754
53,2860
54,2968
55,3078
56,3190
57,3304
58,3420
59,3538
60,3658
61,3780
62,3904
63,4030
64,4158
65,4288
66,4420
67,4554
68,4690
69,4828
70,4968
71,5110
72,5254
73,5400
74,5548
75,5698
76,5850
77,6004
78,6160
79,6318
80,6478
81,6640
82,6804
83,6970
84,7138
85,7308
86,7480
87,7654
88,7830
89,8008
90,8188
91,8370
92,8554
93,8740
94,8928
95,9118
96,9310
97,9504
98,9700
99,9898
100,10098
101,10300
102,10504
103,10710
104,10918
105,11128
106,11340
107,11554
108,11770
109,11988
110,12208
111,12430
112,12654
113,12880
114,13108
115,13338
116,13570
117,13804
118,14040
119,14278
120,14518
121,14760
122,15004
123,15250
124,15498
125,15748
126,16000
127,16254
128,16510
129,16768
130,17028
131,17290
132,17554
133,17820
134,18088
135,18358
136,18630
137,18904
138,19180
139,19458
140,19738
141,20020
142,20304
143,20590
144,20878
145,21168
146,21460
147,21754
148,22050
149,22348
150,22648
151,22950
152,23254
153,23560
154,23868
155,24178
156,24490
157,24804
158,25120
159,25438
160,25758
161,26080
162,26404
163,26730
164,27058
165,27388
166,27720
167,28054
168,28390
169,28728
170,29068
171,29410
172,29754
173,30100
174,30448
175,30798
176,31150
177,31504
178,31860
179,32218
180,32578
181,32940
182,33304
183,33670
184,34038
185,34408
186,34780
187,35154
188,35530
189,35908
190,36288
191,36670
192,37054
193,37440
194,37828
195,38218
196,38610
197,39004
198,39400
199,39798
200,40198
201,40600
202,41004
203,41410
204,41818
205,42228
206,42640
207,43054
208,43470
209,43888
210,44308
211,44730
212,45154
213,45580
214,46008
215,46438
216,46870
217,47304
218,47740
219,48178
220,48618
221,49060
222,49504
223,49950
224,50398
225,50848
226,51300
227,51754
228,52210
229,52668
230,53128
231,53590
232,54054
233,54520
234,54988
235,55458
236,55930
237,56404
238,56880
239,57358
240,57838
241,58320
242,58804
243,59290
244,59778
245,60268
246,60760
