n,growth1.ticks
1,3
2,4
3,10
4,18
5,28
6,40
7,54
8,70
9,88
10,108
11,130
12,154
13,180
14,208
15,238
16,270
17,304
18,340
19,378
20,418
21,461
22,462
23,509
24,510
25,561
26,562
27,617
28,618
29,677
30,678
31,742
32,743
33,744
34,814
35,815
36,816
37,892
38,893
39,894
40,976
41,977
42,978
43,1067
44,1068
45,1069
46,1070
47,1167
48,1168
49,1169
50,1170
51,1276
52,1277
53,1278
54,1279
55,1280
56,1396
57,1397
58,1398
59,1399
60,1400
61,1527
62,1528
63,1529
64,1530
65,1531
66,1532
67,1671
68,1672
69,1673
70,1674
71,1675
72,1676
73,1828
74,1829
75,1830
76,1831
77,1832
78,1833
79,1834
80,2000
81,2001
82,2002
83,2003
84,2004
85,2005
86,2006
87,2187
88,2188
89,2189
90,2190
91,2191
92,2192
93,2193
94,2194
95,2392
96,2393
97,2394
98,2395
99,2396
100,2397
101,2398
102,2399
103,2400
104,2617
105,2618
106,2619
107,2620
108,2621
109,2622
110,2623
111,2624
112,2625
113,2626
114,2864
115,2865
116,2866
117,2867
118,2868
119,2869
120,2870
121,2871
122,2872
123,2873
124,2874
125,3135
126,3136
127,3137
128,3138
129,3139
130,3140
131,3141
132,3142
133,3143
134,3144
135,3145
136,3146
137,3432
138,3433
139,3434
140,3435
141,3436
142,3437
143,3438
144,3439
145,3440
146,3441
147,3442
148,3443
149,3444
150,3757
151,3758
152,3759
153,3760
154,3761
155,3762
156,3763
157,3764
158,3765
159,3766
160,3767
161,3768
162,3769
163,3770
164,4113
165,4114
166,4115
167,4116
168,4117
169,4118
170,4119
171,4120
172,4121
173,4122
174,4123
175,4124
176,4125
177,4126
178,4127
179,4128
180,4504
181,4505
182,4506
183,4507
184,4508
185,4509
186,4510
187,4511
188,4512
189,4513
190,4514
191,4515
192,4516
193,4517
194,4518
195,4519
196,4520
197,4932
198,4933
199,4934
200,4935
201,4936
202,4937
203,4938
204,4939
205,4940
206,4941
207,4942
208,4943
209,4944
210,4945
211,4946
212,4947
213,4948
214,4949
215,4950
216,5402
217,5403
218,5404
219,5405
220,5406
221,5407
222,5408
223,5409
224,5410
225,5411
226,5412
227,5413
228,5414
229,5415
230,5416
231,5417
232,5418
233,5419
234,5420
235,5421
236,5422
237,5918
238,5919
239,5920
240,5921
241,5922
242,5923
243,5924
244,5925
245,5926
246,5927
247,5928
248,5929
