n,sortusingbst.ticks,nlgn
100,3264,664.385619
200,6468,1528.771238
300,10656,2468.645607
400,17948,3457.542476
500,22072,4482.892142
600,25592,5537.291214
700,29224,6615.847778
800,36528,7715.084952
900,41288,8832.403072
1000,51444,9965.784285
1100,52236,11113.61659
1200,56608,12274.58243
1300,63476,13447.58468
1400,70104,14631.69556
1500,74148,15826.12018
1600,80896,17030.1699
1700,92764,18243.24235
1800,89160,19464.80614
1900,98064,20694.38904
2000,101896,21931.56857
2100,114332,23175.96459
2200,119812,24427.23318
2300,123524,25685.06174
2400,122124,26949.16486
2500,131468,28219.28095
2600,147436,29495.16936
2700,145940,30776.60797
2800,158880,32063.39111
2900,153572,33355.32784
3000,164148,34652.24036
3100,174776,35953.96275
3200,180132,37260.33981
3300,191896,38571.22602
3400,198356,39886.48471
3500,201212,41205.98722
3600,204532,42529.61229
3700,215708,43857.24535
3800,217672,45188.77807
3900,228824,46524.10779
4000,234404,47863.13714
4100,243132,49205.7736
4200,243932,50551.92917
4300,251224,51901.52006
4400,290052,53254.46636
4500,284976,54610.69179
4600,257460,55970.12347
4700,264336,57332.69169
4800,305616,58698.32971
4900,293016,60066.97357
5000,321360,61438.5619
5100,295712,62813.03581
5200,336040,64190.33872
5300,319204,65570.41621
5400,314816,66953.21594
5500,345772,68338.68747
5600,349840,69726.78223
5700,334884,71117.45336
5800,346192,72510.65567
5900,348564,73906.34551
6000,350052,75304.48071
6100,371196,76705.02052
6200,408168,78107.9255
6300,379456,79513.15751
6400,416436,80920.67961
6500,404412,82330.45602
6600,441512,83742.45204
6700,414440,85156.63405
6800,448196,86572.96941
6900,422384,87991.42646
7000,453120,89411.97445
7100,468376,90834.5835
7200,482324,92259.22458
7300,458420,93685.86947
7400,508072,95114.49071
7500,467776,96545.0616
7600,511444,97977.55614
7700,524531,99411.94902
7800,507368,100848.2156
7900,554732,102286.3318
8000,506188,103726.2743
8100,498892,105168.0202
8200,564524,106611.5472
8300,538420,108056.8337
8400,539092,109503.8583
8500,557180,110952.6006
8600,557428,112403.0401
8700,569852,113855.1573
8800,552048,115308.9327
8900,563276,116764.3476
9000,582128,118221.3836
9100,605312,119680.0226
9200,650392,121140.2469
9300,601496,122602.0395
9400,624136,124065.3834
9500,625344,125530.2621
9600,637712,126996.6594
9700,620644,128464.5596
9800,626948,129933.9471
9900,670248,131404.8068
