n,sortusingunorderedlist.time
100,0
200,0
300,0
400,0
500,0
600,0
700,1
800,0
900,0
1000,1
1100,1
1200,1
1300,2
1400,2
1500,3
1600,3
1700,4
1800,4
1900,4
2000,5
2100,5
2200,7
2300,7
2400,9
2500,6
2600,9
2700,10
2800,11
2900,11
3000,13
3100,12
3200,15
3300,10
3400,12
3500,14
3600,13
3700,16
3800,15
3900,17
4000,16
4100,20
4200,19
4300,23
4400,22
4500,21
4600,26
4700,29
4800,25
4900,27
5000,26
5100,29
5200,31
5300,32
5400,30
5500,32
5600,31
5700,34
5800,31
5900,35
6000,40
6100,38
6200,40
6300,49
6400,47
6500,40
6600,48
6700,52
6800,54
6900,54
7000,60
7100,58
7200,50
7300,63
7400,59
7500,56
7600,66
7700,64
7800,71
7900,66
8000,70
8100,77
8200,80
8300,78
8400,81
8500,78
8600,73
8700,75
8800,87
8900,88
9000,95
9100,85
9200,97
9300,97
9400,107
9500,106
9600,106
9700,112
9800,112
9900,129
