Bin,Frequency
-2142756446,1
-2004452979,44
-1866149512,29
-1727846045,30
-1589542577,25
-1451239110,34
-1312935643,45
-1174632176,33
-1036328709,34
-898025241.8,32
-759721774.7,28
-621418307.6,31
-483114840.5,24
-344811373.3,33
-206507906.2,31
-68204439.06,44
70099028.06,23
208402495.2,32
346705962.3,31
485009429.5,36
623312896.6,30
761616363.7,41
899919830.8,34
1038223298,26
1176526765,33
1314830232,35
1453133699,39
1591437166,27
1729740634,27
1868044101,31
2006347568,28
More,29
